rank,symbol,k_period,sl_points,tp_points,profit,pf,mdd,win_rate,sharpe,recovery,score,top
104,USDCAD,14,1100,500,1134.24,1.79,776.54,54.5,0.22,1.5,0.743,
105,USDCAD,21,300,500,1134.24,1.6,1004.72,59.3,0.21,1.1,0.719,
106,NZDUSD,14,500,700,997.7,1.67,443.23,66.7,0.19,2.3,0.712,
107,USDCAD,14,1200,500,1073.72,1.72,837.06,54.5,0.2,1.3,0.708,
108,NZDUSD,28,1200,900,800.52,2.12,385.93,69.2,0.3,2.1,0.706,
109,NZDUSD,14,900,500,1005.28,1.73,780.29,69.2,0.17,1.3,0.706,
110,USDCHF,28,700,1100,1059.94,1.59,776.94,66.7,0.16,1.4,0.705,
111,USDCAD,21,500,300,910.3,1.81,965.98,71.4,0.26,0.9,0.683,
112,USDCAD,28,500,500,1027.72,1.58,965.98,61.9,0.21,1.1,0.682,
113,NZDUSD,14,700,700,894.05,1.74,611.76,69.2,0.19,1.5,0.672,
114,AUDUSD,28,900,500,650.53,2.21,319.36,73.3,0.28,2.0,0.669,
115,USDCAD,28,300,500,977.48,1.52,1004.72,56.0,0.19,1.0,0.645,
116,NZDUSD,14,700,300,824.11,1.68,611.76,69.2,0.18,1.3,0.638,
117,EURUSD,21,1100,1200,815.69,1.65,608.39,73.3,0.17,1.3,0.637,
118,USDCAD,28,700,300,789.85,1.7,534.44,68.4,0.22,1.5,0.632,
119,USDCAD,14,500,500,938.75,1.46,839.48,53.8,0.16,1.1,0.622,
120,NZDUSD,14,1100,500,836.75,1.54,948.82,69.2,0.13,0.9,0.613,
121,USDCHF,28,700,900,854.12,1.48,776.94,66.7,0.14,1.1,0.612,
122,USDCHF,28,900,500,875.73,1.4,982.76,68.8,0.12,0.9,0.608,
123,USDCAD,14,700,300,773.51,1.65,534.44,59.1,0.21,1.4,0.605,
124,NZDUSD,14,500,300,773.55,1.52,443.23,66.7,0.16,1.7,0.604,
125,EURUSD,21,1100,1100,731.42,1.59,608.39,73.3,0.16,1.2,0.596,
126,AUDUSD,28,900,700,527.5,1.98,319.36,73.3,0.25,1.7,0.588,
127,NZDUSD,14,300,500,809.79,1.37,769.34,62.5,0.12,1.1,0.575,
128,NZDUSD,14,900,700,725.52,1.53,780.29,69.2,0.13,0.9,0.574,
129,NZDUSD,14,1200,500,752.49,1.46,1033.09,69.2,0.11,0.7,0.57,
130,NZDUSD,14,300,700,770.18,1.35,769.34,62.5,0.12,1.0,0.558,
131,AUDUSD,28,700,700,605.87,1.59,609.24,75.0,0.15,1.0,0.551,
132,USDCHF,28,900,1200,751.22,1.34,1159.76,66.7,0.1,0.6,0.548,
133,NZDUSD,14,900,300,655.58,1.47,780.29,69.2,0.12,0.8,0.541,
134,USDCAD,14,300,1200,843.72,1.28,1079.16,40.0,0.1,0.8,0.535,
135,USDCAD,14,300,900,837.67,1.27,1079.16,40.0,0.1,0.8,0.533,
136,NZDUSD,14,300,900,712.04,1.32,769.34,62.5,0.11,0.9,0.532,
137,USDCAD,14,900,300,652.46,1.5,655.49,59.1,0.16,1.0,0.532,
138,EURUSD,28,700,300,600.81,1.42,607.55,76.5,0.14,1.0,0.53,
139,EURUSD,28,700,1200,619.35,1.44,784.51,73.3,0.12,0.8,0.528,
140,AUDUSD,28,700,500,560.36,1.54,609.24,75.0,0.15,0.9,0.528,
141,USDCHF,28,700,700,648.31,1.36,776.94,66.7,0.11,0.8,0.519,
142,AUDUSD,28,700,300,541.82,1.53,609.24,75.0,0.15,0.9,0.518,
143,AUDUSD,14,900,300,572.16,1.47,610.92,69.6,0.15,0.9,0.514,
144,EURUSD,21,1100,900,562.89,1.45,608.39,73.3,0.13,0.9,0.514,
145,USDCAD,14,300,1100,783.2,1.26,1079.16,40.0,0.09,0.7,0.51,
146,EURUSD,28,900,1200,564.58,1.41,839.28,71.4,0.11,0.7,0.5,
147,EURUSD,28,900,300,546.04,1.4,776.08,75.0,0.13,0.7,0.499,
148,USDCAD,28,1100,300,559.25,1.37,764.43,73.7,0.11,0.7,0.498,
149,EURUSD,21,1100,300,526.66,1.4,664.01,76.5,0.14,0.8,0.497,
150,USDCHF,28,700,300,586.57,1.33,860.3,68.8,0.11,0.7,0.493,
151,USDCAD,28,900,300,547.75,1.4,655.49,68.4,0.13,0.8,0.493,
152,EURUSD,28,700,1100,535.08,1.38,784.51,73.3,0.1,0.7,0.488,
153,NZDUSD,14,1100,700,556.99,1.36,948.82,69.2,0.09,0.6,0.485,
154,NZDUSD,28,700,500,539.3,1.34,690.13,66.7,0.11,0.8,0.477,
155,NZDUSD,21,700,500,531.71,1.41,731.42,61.1,0.13,0.7,0.476,
156,EURUSD,28,500,1200,517.39,1.34,886.47,68.8,0.1,0.6,0.468,
157,USDCAD,28,1200,300,496.31,1.35,824.96,72.2,0.11,0.6,0.468,
158,EURUSD,28,500,300,498.85,1.33,878.04,72.2,0.12,0.6,0.466,
159,AUDUSD,28,700,900,441.55,1.43,609.24,75.0,0.12,0.7,0.466,
160,USDCAD,14,1100,300,531.41,1.37,776.54,59.1,0.12,0.7,0.466,
161,EURUSD,28,900,1100,480.31,1.35,839.28,71.4,0.1,0.6,0.46,
162,NZDUSD,14,1100,300,487.05,1.31,948.82,69.2,0.08,0.5,0.453,
163,NZDUSD,21,700,300,458.4,1.36,674.12,63.2,0.12,0.7,0.444,
164,NZDUSD,14,1200,700,472.73,1.29,1033.09,69.2,0.07,0.5,0.443,
165,USDCAD,14,1200,300,470.89,1.32,837.06,59.1,0.1,0.6,0.434,
166,EURUSD,21,1100,700,394.36,1.32,608.39,73.3,0.1,0.6,0.431,
167,EURUSD,28,500,1100,433.12,1.29,886.47,68.8,0.09,0.5,0.429,
168,USDCHF,28,900,900,442.5,1.2,1159.76,66.7,0.06,0.4,0.416,
169,NZDUSD,14,1200,300,402.79,1.25,1033.09,69.2,0.06,0.4,0.412,
170,AUDUSD,14,500,300,386.78,1.23,567.95,68.0,0.08,0.7,0.409,
171,EURUSD,28,700,900,366.55,1.26,784.51,73.3,0.08,0.5,0.409,
172,AUDUSD,14,500,700,358.13,1.22,653.05,68.0,0.07,0.5,0.394,
173,USDJPY,21,1100,500,432.96,1.14,1804.11,60.9,0.06,0.2,0.394,
174,NZDUSD,14,300,300,389.3,1.18,699.4,62.5,0.07,0.6,0.392,
175,USDJPY,28,500,300,350.93,1.2,1292.92,71.4,0.09,0.3,0.39,
176,NZDUSD,21,900,500,363.18,1.25,899.95,61.1,0.08,0.4,0.387,
177,NZDUSD,28,700,700,347.17,1.22,860.35,66.7,0.08,0.4,0.386,
178,USDCHF,28,300,500,444.56,1.14,1763.82,52.2,0.06,0.3,0.385,
179,AUDUSD,14,900,500,308.41,1.25,610.92,69.6,0.09,0.5,0.383,
180,USDCAD,14,300,700,471.49,1.15,1079.16,40.0,0.06,0.4,0.381,
181,EURUSD,28,900,900,311.78,1.23,839.28,71.4,0.07,0.4,0.381,
182,AUDUSD,28,500,500,269.65,1.19,479.47,72.2,0.06,0.6,0.366,
183,AUDUSD,14,500,500,291.56,1.18,653.05,68.0,0.06,0.4,0.363,
184,USDCAD,21,300,300,321.39,1.17,1004.72,59.3,0.07,0.3,0.358,
185,NZDUSD,21,700,700,287.34,1.22,731.42,61.1,0.08,0.4,0.357,
186,NZDUSD,21,900,300,289.87,1.2,842.65,63.2,0.07,0.3,0.356,
187,AUDUSD,28,500,300,251.11,1.18,648.0,72.2,0.06,0.4,0.354,
188,EURUSD,28,700,500,245.21,1.17,784.51,75.0,0.06,0.3,0.354,
189,EURUSD,28,500,900,264.59,1.17,886.47,68.8,0.06,0.3,0.351,
190,EURUSD,21,500,1200,279.76,1.15,760.07,66.7,0.05,0.4,0.351,
191,EURUSD,21,1100,500,225.83,1.18,608.39,73.3,0.07,0.4,0.347,
192,NZDUSD,28,700,300,254.48,1.16,861.19,68.8,0.06,0.3,0.346,
193,AUDUSD,14,700,700,248.58,1.14,864.56,66.7,0.05,0.3,0.337,
194,EURUSD,28,700,700,198.02,1.14,784.51,73.3,0.05,0.3,0.329,
195,USDCHF,28,900,700,236.68,1.11,1159.76,66.7,0.04,0.2,0.327,
196,EURUSD,28,300,1200,252.8,1.12,811.47,60.0,0.04,0.3,0.326,
197,EURUSD,28,900,500,190.44,1.14,839.28,73.3,0.04,0.2,0.326,
198,NZDUSD,28,900,500,202.24,1.1,1027.19,66.7,0.04,0.2,0.315,
199,NZDUSD,28,700,900,192.12,1.12,860.35,66.7,0.04,0.2,0.314,
200,EURUSD,21,500,1100,195.49,1.1,760.07,66.7,0.04,0.3,0.313,
201,AUDUSD,14,700,900,190.44,1.1,864.56,66.7,0.04,0.2,0.311,
202,NZDUSD,21,1100,500,194.65,1.12,1068.48,61.1,0.04,0.2,0.305,
203,AUDUSD,14,700,300,175.27,1.1,756.7,66.7,0.03,0.2,0.305,
204,USDJPY,7,700,300,187.96,1.05,1310.84,68.3,0.02,0.1,0.304,
205,USDJPY,21,1200,500,215.67,1.07,2021.4,60.9,0.03,0.1,0.304,
206,USDCHF,28,900,300,174.94,1.08,1271.92,68.8,0.03,0.1,0.303,
207,EURUSD,28,900,700,143.25,1.1,839.28,71.4,0.03,0.2,0.3,
208,USDCAD,28,300,300,200.34,1.11,1004.72,56.0,0.05,0.2,0.299,
209,EURUSD,28,500,500,143.25,1.09,886.47,70.6,0.03,0.2,0.298,
210,USDJPY,28,500,500,191.22,1.07,1563.45,57.1,0.03,0.1,0.291,
211,EURUSD,28,300,1100,168.53,1.08,811.47,60.0,0.03,0.2,0.289,
212,USDJPY,21,700,300,141.79,1.06,1058.24,67.9,0.02,0.1,0.287,
213,USDCAD,28,500,300,145.26,1.08,965.98,61.9,0.03,0.2,0.284,
214,USDJPY,28,700,300,95.61,1.05,1689.48,75.0,0.02,0.1,0.279,
215,NZDUSD,21,1100,300,121.34,1.07,1011.18,63.2,0.02,0.1,0.275,
216,EURUSD,28,500,700,96.06,1.06,886.47,68.8,0.02,0.1,0.273,
217,NZDUSD,21,900,700,118.81,1.08,899.95,61.1,0.03,0.1,0.273,
218,NZDUSD,21,1200,500,110.39,1.06,1152.75,61.1,0.02,0.1,0.266,
219,USDJPY,14,700,300,83.66,1.03,2027.92,71.0,0.01,0.0,0.266,
220,USDJPY,28,1100,700,120.06,1.04,2791.72,60.0,0.02,0.0,0.264,
221,NZDUSD,21,500,500,123.03,1.06,562.89,55.0,0.02,0.2,0.264,
222,USDJPY,7,1100,300,87.46,1.03,1556.93,68.4,0.01,0.1,0.263,
223,AUDUSD,14,700,500,80.05,1.04,864.56,66.7,0.02,0.1,0.261,
224,EURUSD,21,700,1200,44.66,1.02,765.13,72.2,0.01,0.1,0.253,
225,NZDUSD,28,500,700,87.64,1.04,966.52,58.8,0.02,0.1,0.252,
226,USDCHF,28,500,500,90.56,1.03,1645.48,57.9,0.01,0.1,0.249,
227,EURUSD,21,900,1200,39.6,1.02,776.08,68.8,0.01,0.1,0.246,
228,USDCAD,14,500,300,86.55,1.04,803.77,53.8,0.02,0.1,0.244,
229,USDCHF,21,900,500,40.13,1.01,1474.65,65.2,0.0,0.0,0.239,
230,EURUSD,21,500,900,26.96,1.01,760.07,66.7,0.01,0.0,0.237,
231,NZDUSD,21,1200,300,37.08,1.02,1095.45,63.2,0.01,0.0,0.236,
232,USDCHF,21,1100,500,19.55,1.01,1680.46,68.2,0.0,0.0,0.235,
233,NZDUSD,28,900,700,10.11,1.01,1197.41,66.7,0.0,0.0,0.229,
234,EURUSD,21,500,300,-9.27,1.0,815.69,70.0,-0.0,-0.0,0.226,
235,EURUSD,21,700,1100,-39.6,0.98,765.13,72.2,-0.01,-0.1,0.216,
236,EURUSD,28,300,900,0.0,1.0,811.47,60.0,0.0,0.0,0.215,
237,USDJPY,14,900,300,-38.57,0.99,2150.15,70.4,-0.01,-0.0,0.215,
238,AUDUSD,28,500,700,-45.5,0.97,671.59,72.2,-0.01,-0.1,0.211,
239,NZDUSD,28,500,500,-10.11,1.0,886.47,58.8,-0.0,-0.0,0.209,
240,EURUSD,21,900,1100,-44.66,0.98,776.08,68.8,-0.01,-0.1,0.208,
241,GBPUSD,28,500,300,-1.69,1.0,1304.42,55.0,-0.0,-0.0,0.207,
242,USDCHF,28,300,1200,13.38,1.0,1763.82,50.0,0.0,0.0,0.205,
243,EURUSD,14,1100,900,-4.21,1.0,674.96,52.6,-0.0,-0.0,0.202,
244,EURUSD,14,1100,1100,-17.7,0.99,674.96,52.6,-0.0,-0.0,0.196,
245,EURUSD,14,1100,700,-17.7,0.99,674.96,52.6,-0.0,-0.0,0.196,
246,NZDUSD,21,500,300,-34.55,0.98,642.1,57.1,-0.01,-0.1,0.195,
247,USDCHF,28,500,1200,-33.96,0.99,1944.93,55.6,-0.0,-0.0,0.194,
248,NZDUSD,21,1100,700,-49.72,0.97,1068.48,61.1,-0.01,-0.0,0.194,
249,USDCHF,21,1200,500,-83.35,0.97,1783.37,68.2,-0.01,-0.0,0.193,
250,NZDUSD,28,900,300,-82.58,0.96,1198.25,68.8,-0.02,-0.1,0.192,
251,EURUSD,28,300,500,-72.47,0.97,811.47,59.1,-0.01,-0.1,0.182,
