rank,symbol,k_period,sl_points,tp_points,profit,pf,mdd,win_rate,sharpe,recovery,score,top
346,USDJPY,21,1100,300,-548.13,0.81,2144.72,68.0,-0.08,-0.3,0.003,
347,AUDUSD,21,700,900,-428.07,0.71,1176.34,50.0,-0.11,-0.4,0.001,
348,USDCHF,14,300,700,-478.52,0.87,1352.19,46.7,-0.06,-0.4,0.001,
349,AUDUSD,21,700,500,-432.28,0.71,1176.34,50.0,-0.12,-0.4,-0.001,
350,EURUSD,21,300,300,-501.38,0.83,857.82,57.1,-0.08,-0.6,-0.001,
351,EURUSD,21,300,700,-492.95,0.82,814.84,56.0,-0.09,-0.6,-0.002,
352,USDCHF,28,300,700,-501.15,0.84,1763.82,50.0,-0.07,-0.3,-0.005,
353,USDCHF,21,500,900,-547.46,0.85,1565.21,59.3,-0.06,-0.3,-0.007,
354,EURUSD,21,700,500,-545.19,0.75,765.13,72.2,-0.1,-0.7,-0.008,
355,USDCHF,21,1200,700,-574.22,0.8,1783.37,68.2,-0.07,-0.3,-0.008,
356,USDCHF,14,700,700,-513.5,0.86,1337.78,50.0,-0.06,-0.4,-0.008,
357,AUDUSD,28,300,300,-511.49,0.79,1061.74,56.5,-0.1,-0.5,-0.01,
358,USDCHF,21,900,300,-560.84,0.8,1403.64,65.2,-0.07,-0.4,-0.01,
359,GBPUSD,28,500,500,-491.26,0.79,1249.65,50.0,-0.1,-0.4,-0.011,
360,USDJPY,7,900,500,-537.81,0.85,1845.94,53.1,-0.07,-0.3,-0.012,
361,USDCHF,21,1100,300,-581.42,0.79,1609.46,68.2,-0.07,-0.4,-0.013,
362,USDCHF,28,500,700,-548.49,0.82,1944.93,55.6,-0.08,-0.3,-0.016,
363,EURUSD,21,900,500,-550.25,0.73,776.08,68.8,-0.12,-0.7,-0.018,
364,USDJPY,7,300,300,-555.74,0.86,1529.23,53.1,-0.07,-0.4,-0.019,
365,EURUSD,21,300,500,-535.93,0.82,811.47,55.6,-0.09,-0.7,-0.019,
366,USDCHF,14,900,700,-540.26,0.82,1419.08,52.2,-0.07,-0.4,-0.02,
367,USDCHF,14,500,900,-547.46,0.86,1485.97,50.0,-0.06,-0.4,-0.02,
368,EURUSD,14,1100,300,-498.01,0.73,977.47,52.6,-0.12,-0.5,-0.02,
369,USDCHF,14,1100,700,-560.84,0.81,1624.89,54.5,-0.07,-0.3,-0.023,
370,AUDUSD,21,500,700,-459.24,0.66,1012.02,47.1,-0.15,-0.5,-0.025,
371,GBPUSD,28,700,300,-550.25,0.79,1852.99,52.6,-0.1,-0.3,-0.026,
372,USDCHF,14,1200,300,-585.54,0.81,1697.96,59.1,-0.07,-0.3,-0.026,
373,GBPUSD,28,900,700,-534.24,0.73,1037.3,53.3,-0.1,-0.5,-0.031,
374,USDCHF,21,500,700,-608.18,0.83,1565.21,59.3,-0.07,-0.4,-0.031,
375,USDJPY,28,500,1200,-548.67,0.83,2239.24,42.1,-0.09,-0.2,-0.035,
376,USDCHF,28,500,300,-610.24,0.8,2057.1,57.9,-0.1,-0.3,-0.038,
377,USDJPY,28,1100,1100,-597.57,0.79,2791.72,53.8,-0.1,-0.2,-0.038,
378,GBPUSD,28,1200,500,-567.95,0.75,1326.33,53.3,-0.1,-0.4,-0.039,
379,EURUSD,14,500,300,-546.04,0.72,1025.51,52.4,-0.13,-0.5,-0.04,
380,USDCHF,14,500,700,-608.18,0.84,1485.97,50.0,-0.07,-0.4,-0.044,
381,USDJPY,14,1200,300,-690.46,0.8,2802.04,70.4,-0.09,-0.2,-0.046,
382,GBPUSD,28,1100,500,-605.87,0.75,1364.25,56.2,-0.1,-0.4,-0.048,
383,GBPUSD,28,500,700,-578.06,0.73,1081.12,52.9,-0.12,-0.5,-0.048,
384,EURUSD,7,900,500,-515.7,0.8,979.16,29.4,-0.08,-0.5,-0.051,
385,USDCHF,21,1200,300,-684.33,0.77,1712.36,68.2,-0.08,-0.4,-0.054,
386,AUDUSD,28,300,700,-619.35,0.75,1049.94,56.5,-0.13,-0.6,-0.057,
387,EURUSD,14,700,300,-612.61,0.71,1092.07,57.1,-0.12,-0.6,-0.058,
388,USDCHF,21,300,500,-673.01,0.84,1819.39,54.5,-0.07,-0.4,-0.06,
389,USDJPY,28,300,300,-603.0,0.76,1189.7,48.1,-0.14,-0.5,-0.061,
390,USDJPY,7,1200,900,-645.37,0.8,2125.16,50.0,-0.08,-0.3,-0.061,
391,USDCHF,14,1200,700,-663.75,0.78,1727.8,54.5,-0.08,-0.4,-0.064,
392,USDJPY,28,1200,500,-711.1,0.77,3009.02,62.5,-0.11,-0.2,-0.069,
393,USDJPY,21,500,300,-690.46,0.79,1559.1,58.1,-0.11,-0.4,-0.071,
394,GBPUSD,28,1200,700,-654.74,0.69,1157.8,57.1,-0.12,-0.6,-0.075,
395,GBPUSD,28,300,300,-667.38,0.79,1189.82,50.0,-0.11,-0.6,-0.076,
396,USDJPY,28,700,700,-675.79,0.8,2430.47,44.4,-0.11,-0.3,-0.081,
397,USDJPY,21,1200,300,-765.43,0.76,2362.02,68.0,-0.1,-0.3,-0.083,
398,GBPUSD,28,1100,700,-692.66,0.69,1195.72,60.0,-0.12,-0.6,-0.083,
399,USDCHF,28,300,300,-699.76,0.77,1804.98,52.2,-0.11,-0.4,-0.083,
400,EURUSD,7,900,700,-592.38,0.77,958.94,29.4,-0.09,-0.6,-0.084,
401,USDJPY,14,1100,500,-754.56,0.8,2855.28,58.3,-0.09,-0.3,-0.086,
402,USDCAD,7,300,900,-709.36,0.83,1657.18,44.2,-0.07,-0.4,-0.09,
403,USDCAD,7,900,900,-731.14,0.77,1727.39,51.4,-0.09,-0.4,-0.096,
404,USDJPY,7,900,700,-740.44,0.79,2108.87,50.0,-0.09,-0.4,-0.096,
405,EURUSD,7,500,500,-639.57,0.77,1103.03,30.6,-0.09,-0.6,-0.098,
406,NZDUSD,28,300,300,-712.04,0.73,1278.3,52.2,-0.14,-0.6,-0.098,
407,NZDUSD,21,300,500,-708.67,0.76,1116.51,48.1,-0.12,-0.6,-0.099,
408,GBPUSD,28,900,900,-697.71,0.65,1200.78,53.3,-0.14,-0.6,-0.102,
409,USDCAD,7,500,900,-754.75,0.81,1649.31,46.5,-0.08,-0.5,-0.107,
410,USDJPY,28,900,500,-784.44,0.75,2577.14,55.6,-0.13,-0.3,-0.109,
411,EURUSD,14,900,300,-731.42,0.66,1210.89,55.0,-0.15,-0.6,-0.111,
412,USDJPY,28,500,900,-742.07,0.77,2239.24,42.1,-0.13,-0.3,-0.114,
413,GBPUSD,28,500,900,-741.53,0.65,1244.59,52.9,-0.17,-0.6,-0.119,
414,NZDUSD,21,300,700,-765.97,0.74,1221.84,48.1,-0.12,-0.6,-0.122,
415,USDJPY,28,1200,1100,-814.86,0.74,3009.02,53.8,-0.13,-0.3,-0.124,
416,USDCHF,14,300,300,-811.93,0.78,1422.17,50.0,-0.11,-0.6,-0.129,
417,EURUSD,7,500,700,-716.25,0.74,1082.81,30.6,-0.1,-0.7,-0.13,
418,EURUSD,7,700,500,-742.37,0.76,1205.83,33.3,-0.09,-0.6,-0.132,
419,USDJPY,14,1100,700,-845.83,0.78,2927.53,50.0,-0.1,-0.3,-0.135,
420,USDJPY,14,700,500,-872.45,0.8,2294.11,55.2,-0.1,-0.4,-0.136,
421,USDCAD,7,1200,900,-827.38,0.74,1773.99,50.0,-0.1,-0.5,-0.136,
422,USDCHF,14,700,300,-846.92,0.76,1457.16,54.2,-0.11,-0.6,-0.137,
423,USDJPY,7,500,900,-845.83,0.81,1612.89,48.6,-0.09,-0.5,-0.137,
424,USDJPY,28,300,500,-775.75,0.75,1873.1,37.0,-0.14,-0.4,-0.138,
425,GBPUSD,28,1200,900,-818.21,0.61,1321.28,57.1,-0.16,-0.6,-0.145,
426,USDCHF,21,300,900,-897.34,0.78,1778.22,54.5,-0.1,-0.5,-0.149,
427,USDJPY,14,1100,1100,-871.36,0.78,3083.44,45.5,-0.1,-0.3,-0.15,
428,GBPUSD,28,1100,900,-856.13,0.62,1359.19,60.0,-0.15,-0.6,-0.152,
429,EURUSD,14,300,500,-878.04,0.76,1569.01,50.0,-0.12,-0.6,-0.155,
430,NZDUSD,21,300,900,-847.71,0.72,1221.84,48.1,-0.14,-0.7,-0.156,
431,EURUSD,14,300,900,-878.04,0.76,1326.33,50.0,-0.11,-0.7,-0.157,
432,USDJPY,7,500,500,-904.5,0.79,1629.73,51.3,-0.1,-0.6,-0.158,
433,USDCAD,7,900,1100,-887.3,0.72,1727.39,51.4,-0.11,-0.5,-0.159,
434,NZDUSD,21,300,300,-866.24,0.71,1380.26,50.0,-0.15,-0.6,-0.16,
435,EURUSD,14,300,700,-891.52,0.75,1460.31,50.0,-0.12,-0.6,-0.161,
436,EURUSD,14,300,1100,-891.52,0.75,1326.33,50.0,-0.11,-0.7,-0.162,
437,EURUSD,7,700,700,-819.06,0.73,1185.61,33.3,-0.11,-0.7,-0.164,
438,USDJPY,28,900,1100,-888.2,0.72,2577.14,46.7,-0.14,-0.3,-0.165,
439,USDCAD,7,300,1100,-909.69,0.78,1717.1,44.2,-0.1,-0.5,-0.17,
440,USDJPY,7,1200,500,-939.81,0.74,2244.13,53.3,-0.11,-0.4,-0.17,
441,USDJPY,28,1100,900,-923.51,0.68,2791.72,53.8,-0.17,-0.3,-0.172,
442,USDCHF,21,300,700,-958.06,0.77,1838.94,54.5,-0.11,-0.5,-0.173,
443,USDCHF,14,500,300,-941.59,0.75,1551.83,53.8,-0.12,-0.6,-0.173,
444,USDCAD,7,500,1100,-955.09,0.75,1756.44,46.5,-0.1,-0.5,-0.186,
445,EURUSD,7,300,500,-891.52,0.76,1213.42,33.3,-0.1,-0.7,-0.187,
446,USDCHF,21,700,300,-1011.57,0.71,1746.32,62.5,-0.13,-0.6,-0.19,
447,USDJPY,14,1200,500,-1026.18,0.75,3126.9,58.3,-0.12,-0.3,-0.191,
448,GBPUSD,28,700,500,-926.07,0.65,1684.46,47.1,-0.17,-0.5,-0.192,
449,USDCAD,7,900,700,-973.25,0.69,1740.1,51.4,-0.13,-0.6,-0.195,
450,USDJPY,14,1100,900,-987.07,0.75,3192.09,45.5,-0.12,-0.3,-0.196,
451,USDJPY,7,1200,1100,-979.47,0.69,2016.51,50.0,-0.13,-0.5,-0.197,
452,USDCAD,7,1200,1100,-983.53,0.69,1784.89,50.0,-0.12,-0.6,-0.2,
453,USDJPY,7,900,1100,-995.76,0.69,2108.87,48.1,-0.14,-0.5,-0.206,
454,USDCAD,14,300,300,-937.54,0.69,1043.45,40.0,-0.17,-0.9,-0.208,
455,AUDUSD,21,300,500,-958.09,0.62,1253.86,40.9,-0.2,-0.8,-0.222,
456,USDJPY,21,1100,700,-1017.49,0.7,2741.74,40.0,-0.14,-0.4,-0.223,
457,USDJPY,21,1100,1100,-1026.73,0.7,2539.66,42.1,-0.14,-0.4,-0.224,
458,USDJPY,7,700,500,-1094.09,0.75,1998.59,52.8,-0.12,-0.5,-0.227,
459,AUDUSD,21,300,300,-974.1,0.61,1344.03,40.9,-0.21,-0.7,-0.228,
460,GBPUSD,28,700,700,-1012.87,0.59,1515.93,50.0,-0.2,-0.7,-0.229,
461,USDCHF,7,500,300,-1077.43,0.72,1792.63,50.0,-0.12,-0.6,-0.23,
462,USDJPY,7,500,1200,-1089.74,0.75,1987.18,47.2,-0.11,-0.5,-0.234,
463,USDCAD,7,300,700,-1072.51,0.74,1845.41,44.2,-0.12,-0.6,-0.234,
464,USDCAD,7,1200,700,-1069.48,0.67,1836.33,50.0,-0.13,-0.6,-0.234,
465,GBPUSD,28,300,500,-1055.84,0.7,1455.26,44.0,-0.16,-0.7,-0.239,
466,USDJPY,14,1200,700,-1117.45,0.73,3144.83,50.0,-0.13,-0.4,-0.239,
467,USDJPY,21,1100,900,-1063.67,0.69,2648.31,42.1,-0.15,-0.4,-0.239,
468,USDJPY,7,1100,900,-1096.26,0.7,2576.05,48.1,-0.13,-0.4,-0.239,
469,USDCHF,21,500,300,-1129.91,0.69,1864.67,59.3,-0.14,-0.6,-0.24,
470,USDJPY,21,700,1200,-1057.15,0.7,1947.52,36.4,-0.14,-0.5,-0.245,
471,USDJPY,14,700,700,-1133.2,0.74,2639.07,48.1,-0.14,-0.4,-0.248,
472,USDCAD,7,500,700,-1117.9,0.71,1884.75,46.5,-0.13,-0.6,-0.251,
473,EURUSD,7,900,300,-992.64,0.62,1316.22,29.4,-0.19,-0.8,-0.251,
474,USDCAD,7,1100,1100,-1129.4,0.67,1930.75,51.4,-0.13,-0.6,-0.253,
475,USDJPY,14,1200,1100,-1142.98,0.73,3355.06,45.5,-0.13,-0.3,-0.254,
476,USDJPY,21,300,300,-1087.57,0.67,1580.83,42.9,-0.2,-0.7,-0.256,
477,USDJPY,28,1200,900,-1140.81,0.63,3009.02,53.8,-0.2,-0.4,-0.257,
478,USDCAD,7,900,500,-1128.79,0.64,1789.73,51.4,-0.15,-0.6,-0.258,
479,USDJPY,14,700,1100,-1158.74,0.74,2762.39,44.4,-0.13,-0.4,-0.262,
480,GBPUSD,28,300,700,-1124.94,0.67,1341.5,45.8,-0.18,-0.8,-0.268,
481,GBPUSD,7,900,500,-1144.32,0.65,2512.78,42.1,-0.14,-0.5,-0.272,
482,USDJPY,28,700,1100,-1130.49,0.66,2430.47,37.5,-0.19,-0.5,-0.275,
483,USDCHF,7,700,300,-1170.05,0.68,1885.25,45.7,-0.14,-0.6,-0.276,
484,USDJPY,28,700,1200,-1148.41,0.66,2430.47,37.5,-0.19,-0.5,-0.283,
485,USDJPY,21,500,500,-1205.45,0.72,2100.72,45.2,-0.15,-0.6,-0.283,
486,USDCAD,7,1100,700,-1215.35,0.64,1982.2,51.4,-0.15,-0.6,-0.287,
487,USDJPY,21,1200,700,-1198.39,0.67,2922.64,40.0,-0.16,-0.4,-0.292,
488,GBPUSD,7,1100,500,-1204.15,0.64,2572.61,43.2,-0.14,-0.5,-0.293,
489,GBPUSD,7,900,700,-1197.41,0.64,2512.78,42.1,-0.14,-0.5,-0.293,
490,USDJPY,7,700,900,-1252.72,0.72,2224.58,48.5,-0.13,-0.6,-0.293,
491,USDJPY,21,1200,1100,-1207.63,0.66,2720.56,42.1,-0.16,-0.4,-0.293,
492,EURUSD,7,300,700,-1161.17,0.69,1294.31,33.3,-0.14,-0.9,-0.295,
493,EURUSD,7,500,300,-1116.51,0.6,1440.09,30.6,-0.19,-0.8,-0.295,
494,GBPUSD,28,700,900,-1176.34,0.52,1679.4,50.0,-0.24,-0.7,-0.297,
495,USDJPY,28,900,900,-1214.15,0.62,2577.14,46.7,-0.21,-0.5,-0.297,
496,USDCAD,7,1200,500,-1225.03,0.62,1885.97,50.0,-0.16,-0.6,-0.298,
497,USDJPY,7,500,1100,-1252.72,0.71,2041.5,47.2,-0.14,-0.6,-0.298,
498,USDJPY,7,1200,700,-1251.09,0.66,2233.81,50.0,-0.15,-0.6,-0.298,
499,USDCAD,7,700,900,-1276.48,0.71,2170.43,51.2,-0.12,-0.6,-0.299,
500,USDJPY,14,1200,900,-1258.69,0.7,3463.71,45.5,-0.14,-0.4,-0.299,
501,USDJPY,7,300,500,-1226.1,0.69,1913.3,41.9,-0.17,-0.6,-0.301,
502,AUDUSD,21,300,700,-1146.85,0.54,1376.89,40.9,-0.26,-0.8,-0.301,
503,USDJPY,14,700,900,-1274.45,0.71,2762.39,44.4,-0.15,-0.5,-0.307,
504,USDJPY,21,1200,900,-1244.57,0.65,2829.2,42.1,-0.17,-0.4,-0.308,
505,USDJPY,21,700,700,-1210.89,0.67,2142.0,34.8,-0.18,-0.6,-0.308,
506,USDCHF,7,500,500,-1264.72,0.68,1687.67,47.4,-0.14,-0.7,-0.309,
507,USDJPY,21,700,1100,-1220.12,0.66,1947.52,36.4,-0.17,-0.6,-0.311,
508,GBPUSD,7,1100,700,-1257.23,0.62,2572.61,43.2,-0.14,-0.5,-0.314,
509,USDJPY,14,700,1200,-1317.91,0.7,2762.39,44.4,-0.15,-0.5,-0.324,
510,USDJPY,7,1100,500,-1336.38,0.67,2640.7,51.6,-0.15,-0.5,-0.324,
511,GBPUSD,7,1200,500,-1288.41,0.62,2656.88,43.2,-0.14,-0.5,-0.325,
512,USDJPY,21,700,900,-1257.06,0.65,2048.57,36.4,-0.18,-0.6,-0.326,
513,EURUSD,7,700,300,-1219.31,0.6,1542.89,33.3,-0.18,-0.8,-0.326,
514,GBPUSD,7,900,900,-1281.67,0.61,2512.78,42.1,-0.16,-0.5,-0.327,
515,USDJPY,28,300,700,-1234.25,0.64,2331.6,29.6,-0.21,-0.5,-0.329,
516,USDCAD,7,300,500,-1321.87,0.68,1988.86,44.2,-0.16,-0.7,-0.332,
517,GBPUSD,28,300,900,-1288.41,0.62,1504.97,45.8,-0.22,-0.9,-0.333,
518,USDJPY,21,900,700,-1308.13,0.65,2527.16,36.4,-0.18,-0.5,-0.342,
519,USDJPY,21,900,1100,-1317.36,0.64,2325.08,38.1,-0.18,-0.6,-0.344,
520,GBPUSD,7,1200,700,-1341.5,0.61,2656.88,43.2,-0.15,-0.5,-0.346,
521,AUDUSD,7,500,500,-1312.01,0.5,1531.1,53.3,-0.24,-0.9,-0.347,
522,GBPUSD,7,1100,900,-1341.5,0.6,2572.61,43.2,-0.16,-0.5,-0.348,
523,USDCAD,7,500,500,-1367.26,0.65,2028.2,46.5,-0.16,-0.7,-0.349,
524,USDCAD,7,1100,500,-1370.9,0.6,2031.83,51.4,-0.17,-0.7,-0.35,
525,USDJPY,7,500,700,-1389.07,0.68,1743.26,48.6,-0.16,-0.8,-0.352,
526,USDJPY,14,300,300,-1359.74,0.64,2004.56,44.7,-0.22,-0.7,-0.354,
527,USDCHF,7,900,300,-1375.86,0.64,2091.06,45.7,-0.15,-0.7,-0.354,
528,USDJPY,21,900,900,-1354.3,0.63,2433.72,38.1,-0.19,-0.6,-0.358,
529,USDJPY,7,700,700,-1431.99,0.68,2224.58,50.0,-0.16,-0.6,-0.362,
530,AUDUSD,7,500,300,-1354.14,0.48,1627.16,53.3,-0.26,-0.8,-0.363,
531,USDJPY,28,300,1100,-1310.3,0.62,2157.76,24.0,-0.21,-0.6,-0.368,
532,USDJPY,7,1100,1100,-1430.36,0.61,2467.41,48.1,-0.18,-0.6,-0.373,
533,USDCAD,7,700,1100,-1476.81,0.67,2284.22,51.2,-0.14,-0.6,-0.377,
534,USDCHF,21,300,300,-1479.8,0.64,2214.55,54.5,-0.19,-0.7,-0.378,
535,GBPUSD,7,1200,900,-1425.76,0.58,2656.88,43.2,-0.16,-0.5,-0.38,
536,USDJPY,7,700,1200,-1496.63,0.67,2573.34,46.9,-0.15,-0.6,-0.389,
537,EURUSD,14,300,300,-1466.21,0.59,1764.51,51.5,-0.23,-0.8,-0.39,
538,AUDUSD,7,900,500,-1435.03,0.45,1654.12,51.9,-0.28,-0.9,-0.4,
539,USDJPY,28,700,900,-1456.43,0.56,2430.47,37.5,-0.27,-0.6,-0.408,
540,USDJPY,28,300,1200,-1424.92,0.58,2337.57,24.0,-0.23,-0.6,-0.414,
541,USDCHF,7,500,700,-1538.45,0.61,1961.4,47.4,-0.18,-0.8,-0.416,
542,AUDUSD,7,900,300,-1477.17,0.43,1750.18,51.9,-0.3,-0.8,-0.417,
543,EURUSD,7,300,300,-1467.05,0.61,1416.49,33.3,-0.2,-1.0,-0.418,
544,USDCAD,7,900,300,-1527.05,0.52,1945.89,51.4,-0.22,-0.8,-0.42,
545,GBPUSD,7,700,500,-1554.69,0.59,2923.15,43.6,-0.18,-0.5,-0.425,
546,USDCHF,7,1100,300,-1581.67,0.61,2296.87,45.7,-0.16,-0.7,-0.431,
547,USDCHF,7,700,500,-1563.15,0.57,1986.1,42.9,-0.19,-0.8,-0.437,
548,USDCAD,7,700,700,-1639.63,0.63,2412.53,51.2,-0.16,-0.7,-0.44,
549,NZDUSD,7,700,700,-1651.59,0.58,2900.4,54.8,-0.18,-0.6,-0.444,
550,NZDUSD,7,700,500,-1652.44,0.58,2900.4,54.8,-0.18,-0.6,-0.445,
551,GBPUSD,7,700,700,-1607.78,0.57,2923.15,43.6,-0.18,-0.6,-0.446,
552,USDJPY,7,1100,700,-1647.65,0.6,2684.7,48.3,-0.19,-0.6,-0.451,
553,USDJPY,7,700,1100,-1659.6,0.63,2627.66,46.9,-0.18,-0.6,-0.453,
554,USDCAD,7,1200,300,-1623.29,0.49,2042.12,50.0,-0.23,-0.8,-0.459,
555,USDJPY,14,900,1200,-1628.1,0.58,2616.25,40.9,-0.22,-0.6,-0.459,
556,USDJPY,21,300,500,-1596.59,0.6,2377.77,31.4,-0.25,-0.7,-0.462,
557,AUDUSD,7,700,500,-1621.26,0.44,1840.35,51.7,-0.27,-0.9,-0.466,
558,GBPUSD,7,900,300,-1629.69,0.5,2512.78,42.1,-0.22,-0.6,-0.468,
559,USDCHF,7,1200,300,-1684.58,0.59,2399.78,45.7,-0.17,-0.7,-0.469,
560,GBPUSD,7,700,900,-1692.04,0.55,2923.15,43.6,-0.2,-0.6,-0.48,
561,AUDUSD,7,700,300,-1663.39,0.43,1936.41,51.7,-0.28,-0.9,-0.482,
562,GBPUSD,7,1100,300,-1689.51,0.49,2572.61,43.2,-0.21,-0.7,-0.488,
563,GBPUSD,14,1200,300,-1732.49,0.47,2360.26,52.4,-0.26,-0.7,-0.497,
564,USDJPY,28,300,900,-1636.25,0.52,2222.95,24.0,-0.3,-0.7,-0.501,
565,NZDUSD,7,300,700,-1800.74,0.58,3098.42,52.0,-0.21,-0.6,-0.502,
566,NZDUSD,7,300,500,-1801.59,0.58,3098.42,52.0,-0.21,-0.6,-0.502,
567,USDCAD,7,1100,300,-1769.15,0.48,2187.99,51.4,-0.24,-0.8,-0.51,
568,USDCHF,7,900,500,-1768.96,0.54,2191.91,42.9,-0.2,-0.8,-0.514,
569,USDCHF,7,700,700,-1768.96,0.51,2191.91,42.9,-0.23,-0.8,-0.519,
570,NZDUSD,7,500,700,-1826.87,0.53,3075.67,51.2,-0.22,-0.6,-0.519,
571,NZDUSD,7,500,500,-1827.71,0.53,3075.67,51.2,-0.22,-0.6,-0.519,
572,GBPUSD,7,1200,300,-1773.78,0.48,2656.88,43.2,-0.21,-0.7,-0.52,
573,USDJPY,7,300,900,-1782.92,0.57,2099.09,40.5,-0.24,-0.8,-0.521,
574,NZDUSD,7,1200,700,-1823.49,0.5,3072.3,51.3,-0.23,-0.6,-0.522,
575,NZDUSD,7,1200,500,-1824.34,0.5,3072.3,51.3,-0.23,-0.6,-0.522,
576,NZDUSD,7,900,700,-1861.41,0.52,3110.22,52.5,-0.21,-0.6,-0.53,
577,NZDUSD,7,900,500,-1862.26,0.52,3110.22,52.5,-0.21,-0.6,-0.53,
578,USDJPY,7,300,700,-1813.34,0.56,2020.86,40.5,-0.26,-0.9,-0.535,
579,USDCAD,7,700,500,-1888.99,0.57,2555.98,51.2,-0.2,-0.7,-0.537,
580,NZDUSD,7,700,300,-1891.75,0.51,2875.12,54.8,-0.22,-0.7,-0.54,
581,GBPUSD,7,500,500,-1868.16,0.56,3236.62,41.9,-0.2,-0.6,-0.543,
582,GBPUSD,14,1100,300,-1855.52,0.45,2483.29,52.4,-0.26,-0.7,-0.543,
583,GBPUSD,7,700,300,-1868.16,0.5,2751.25,43.6,-0.23,-0.7,-0.551,
584,USDJPY,28,1100,1200,-1864.95,0.47,2791.72,46.2,-0.33,-0.7,-0.555,
585,USDJPY,7,300,1200,-1880.16,0.54,2359.3,40.5,-0.26,-0.8,-0.558,
586,USDJPY,14,500,300,-1939.92,0.55,2878.1,51.5,-0.28,-0.7,-0.56,
587,USDCHF,7,300,500,-1936.7,0.63,2459.47,42.2,-0.18,-0.8,-0.561,
588,GBPUSD,7,500,700,-1921.24,0.55,3236.62,41.9,-0.21,-0.6,-0.563,
589,USDJPY,7,300,1100,-1934.49,0.53,2359.3,40.5,-0.27,-0.8,-0.58,
590,USDCAD,7,300,300,-1971.91,0.53,2396.8,44.2,-0.27,-0.8,-0.588,
591,USDCHF,7,1100,500,-1974.78,0.51,2397.72,42.9,-0.21,-0.8,-0.59,
592,NZDUSD,7,1100,700,-2029.94,0.5,3278.75,52.5,-0.21,-0.6,-0.592,
593,NZDUSD,7,1100,500,-2030.79,0.5,3278.75,52.5,-0.21,-0.6,-0.592,
594,USDCHF,7,900,700,-1974.78,0.48,2397.72,42.9,-0.24,-0.8,-0.595,
595,GBPUSD,7,500,900,-2005.51,0.53,3236.62,41.9,-0.22,-0.6,-0.597,
596,NZDUSD,7,300,300,-2040.9,0.52,3073.14,52.0,-0.25,-0.7,-0.597,
597,GBPUSD,21,900,300,-1935.57,0.43,2211.11,40.0,-0.32,-0.9,-0.598,
598,USDJPY,21,500,1100,-1967.08,0.54,3135.05,30.8,-0.26,-0.6,-0.6,
599,USDCAD,7,500,300,-2036.07,0.48,2454.9,46.5,-0.28,-0.8,-0.614,
600,NZDUSD,7,500,300,-2067.02,0.47,3050.39,51.2,-0.26,-0.7,-0.614,
601,USDJPY,7,900,1200,-2027.92,0.45,2108.87,44.4,-0.29,-1.0,-0.62,
602,GBPUSD,7,300,500,-2072.92,0.57,2867.54,38.3,-0.22,-0.7,-0.622,
603,NZDUSD,7,900,300,-2101.57,0.46,3084.94,52.5,-0.25,-0.7,-0.625,
604,USDCHF,7,1200,500,-2077.68,0.5,2500.63,42.9,-0.21,-0.8,-0.628,
605,NZDUSD,7,1200,300,-2088.93,0.43,3072.3,51.3,-0.28,-0.7,-0.628,
606,GBPUSD,21,1200,300,-2040.9,0.41,2316.44,42.1,-0.32,-0.9,-0.633,
607,GBPUSD,14,900,300,-2050.17,0.39,2677.94,45.5,-0.33,-0.8,-0.633,
608,USDJPY,28,900,1200,-2046.94,0.45,2577.14,40.0,-0.35,-0.8,-0.634,
609,USDJPY,21,500,1200,-2081.7,0.52,3135.05,30.8,-0.29,-0.7,-0.645,
610,GBPUSD,14,1200,500,-2110.0,0.37,2849.0,50.0,-0.32,-0.7,-0.648,
611,USDCHF,7,300,300,-2179.56,0.58,2607.65,44.4,-0.22,-0.8,-0.651,
612,AUDUSD,7,300,500,-2117.58,0.42,2215.33,47.2,-0.34,-1.0,-0.654,
613,USDJPY,28,1200,1200,-2136.57,0.44,3009.02,46.2,-0.36,-0.7,-0.656,
614,AUDUSD,7,300,300,-2125.16,0.42,2276.84,47.2,-0.35,-0.9,-0.656,
615,USDJPY,21,1100,1200,-2113.21,0.47,2485.33,36.8,-0.29,-0.9,-0.657,
616,USDCHF,7,1100,700,-2180.59,0.46,2603.53,42.9,-0.24,-0.8,-0.67,
617,USDJPY,7,1200,1200,-2174.6,0.44,1962.19,46.2,-0.28,-1.1,-0.673,
618,GBPUSD,7,500,300,-2199.32,0.48,3082.41,41.9,-0.26,-0.7,-0.674,
619,NZDUSD,7,1100,300,-2270.1,0.44,3253.47,52.5,-0.25,-0.7,-0.687,
620,GBPUSD,21,1100,300,-2190.89,0.4,2466.44,42.1,-0.33,-0.9,-0.688,
621,GBPUSD,7,300,700,-2251.56,0.53,2824.56,38.3,-0.25,-0.8,-0.692,
622,GBPUSD,14,1100,500,-2233.02,0.36,2972.03,50.0,-0.33,-0.8,-0.693,
623,USDCHF,7,300,700,-2293.79,0.56,2733.2,42.2,-0.23,-0.8,-0.698,
624,USDJPY,14,1100,1200,-2279.99,0.5,3050.85,40.9,-0.27,-0.7,-0.703,
625,USDJPY,21,500,700,-2241.96,0.51,3026.4,32.1,-0.31,-0.7,-0.703,
626,GBPUSD,14,1200,700,-2255.77,0.33,2849.0,50.0,-0.36,-0.8,-0.707,
627,USDCHF,7,1200,700,-2283.5,0.45,2706.44,42.9,-0.24,-0.8,-0.708,
