==============================================================================================================
  RANKING | 2026-09-16 01:22:18
  Окно бэктеста: 30 дней | Всего комбинаций: 682
==============================================================================================================
  #    Symbol          K    SL    TP     Profit     PF      MDD   WinR  Sharpe  Recov   Score    Top
--------------------------------------------------------------------------------------------------------------
  60   USDCADrfd      14   900  1100   +1707.4  2.30  +655.5  54.5%   0.31   2.6  1.035       
  61   USDCADrfd      28   500   900   +1806.7  2.02  +966.0  61.9%   0.30   1.9  1.030       
  62   EURUSDrfd      28  1100  1100   +1256.4  3.11  +396.0  76.9%   0.34   3.2  1.025       
  63   USDCADrfd      14   700   700   +1620.3  2.36  +534.4  54.5%   0.34   3.0  1.021       
  64   USDCADrfd      21   700   300   +1341.8  2.92  +534.4  75.0%   0.45   2.5  1.020       
  65   USDCADrfd      28   500  1200   +1776.4  2.00  +966.0  61.9%   0.29   1.8  1.016       
  66   USDCADrfd      28   300  1100   +1798.2  1.96 +1004.7  56.0%   0.27   1.8  1.008       
  67   USDCADrfd      28   300   900   +1756.4  1.94 +1004.7  56.0%   0.27   1.7  0.989       
  68   USDCADrfd      14   900  1200   +1595.4  2.22  +655.5  54.5%   0.30   2.4  0.981       
  69   USDCADrfd      21   300   700   +1708.6  1.91 +1004.7  59.3%   0.28   1.7  0.973       
  70   USDCADrfd      14  1100   900   +1603.3  2.12  +776.5  54.5%   0.28   2.1  0.963       
  71   USDCADrfd      14  1100  1100   +1586.4  2.11  +776.5  54.5%   0.27   2.0  0.955       
  72   USDCADrfd      14   900   700   +1499.2  2.14  +655.5  54.5%   0.30   2.3  0.935       
  73   USDCADrfd      28   500   700   +1587.6  1.90  +966.0  61.9%   0.28   1.6  0.933       
  74   USDCADrfd      14  1200   900   +1542.8  2.03  +837.1  54.5%   0.26   1.8  0.926       
  75   EURUSDrfd      28  1100   900   +1087.9  2.83  +396.0  76.9%   0.34   2.7  0.921       
  76   USDCADrfd      14  1200  1100   +1525.8  2.02  +837.1  54.5%   0.25   1.8  0.918       
  77   USDCADrfd      28   900   500   +1430.2  2.05  +655.5  68.4%   0.29   2.2  0.917       
